Дата;Количество звезд;Комментарий;Лайки;Дизлайки
2022-09-03 03:47:37;2;Тушь дрянь не стои своих денег, ресницы слипаются, не разделяются. Кто хвалит её- не пробовали хорошей туши. Даже за 200 р можно найти лучше. Деньги потрачены зря. Купила по совету бьютиблогера другую, за 3 копейки . И вот она лучше этого телескопика в 100 раз . И реснички все разделёные и эффект нарощеных почти;1;4
2022-09-03 03:27:14;5;Оригинал! Довольна.;1;0
2022-09-02 22:54:36;5;Отличная тушь, пользуюсь ей уже много лет.;2;1
2022-09-02 22:20:52;1;Полный отстой. Выбросила.;2;1
2022-09-02 20:52:14;5;Класная тушь;1;1
2022-09-02 20:15:24;5;Постоянно её покупаю, очень нравится.;1;1
2022-09-02 20:00:17;5;Спасибо, всё замечательно;0;0
2022-09-02 19:29:40;5;Туш хорошая советую.;0;2
2022-09-02 17:37:38;4;Ожидала лучшего, но есть пока надежда что будет красить лучше со временем.;0;0
2022-09-02 16:53:15;5;Тушь пришла в срок, качество отличное, рекомендую;1;1
2022-09-02 16:50:22;5;Чудесная тушь! Рекомендую);1;1
2022-09-02 16:23:12;5;Тушь самая лучшая на мой взгляд. В магазинах обычных ее так уже не купишь и цена 900 рублей;1;1
2022-09-02 16:13:15;5;Тушь была упакована в плотный пакет ВБ. По виду действительно чуть приоткрыта, небольшой зазор, но внутри все хорошо- нет следов открытия на палочке, на кончике немного туши, запах как обычно. Срок годности выбит на флаконе. Если б покупала где- то в Лэтуале думаю купила бы подобное.;0;0
2022-09-02 15:29:18;5;Тушь хорошая, настоящая;0;1
2022-09-02 14:54:13;5;Спасибо огромное за такую прелесть, тушь просто идеальная 😍😍;7;4
2022-09-02 14:51:01;4;Тушь на 4, на счёт оригинальности не могу утверждать, но красит хорошо, немного осыпается;0;0
2022-09-02 13:25:12;3;Не понравилось,не разделяет ресницы,а на оборот((;2;0
2022-09-02 13:10:45;5;Кисточка, максимально удобная, сразу прокрашивает реснички. (на фото тушь после 5 часов ношения);6;1
2022-09-02 13:08:53;3;Почему-то пришла тушь без упаковки, не знаю пользовались ей до меня или нет, а так тушь хорошая;0;0
2022-09-02 11:52:07;5;Отличнаятушь👍;0;1
2022-09-02 10:58:40;5;Замечательная тушь 🔥;0;0
2022-09-02 10:50:08;5;Хорошая тушь;0;0
2022-09-02 09:48:20;5;Отличная тушь. Давно ей пользуюсь.;0;0
2022-09-02 09:45:14;5;Тушь просто класс. Пользуюсь очень давно;0;0
2022-09-02 09:39:25;5;Хорошая, свежая тушь;0;0
2022-09-02 09:18:14;1;Брала тушь почти за 500 р. Ничего общего нет с настоящей  тушью лореаль. Жирная фигня.;3;0
2022-09-02 09:04:59;1;Тушь реально подделка, плохо закручивался что просматривается даже через их упаковку прозрачную;3;0
2022-09-02 08:06:41;5;Тушь понравилась, пользуюсь уже лет 10 только ей, такая же как в магазине. Кто пишет что приходит открытая, так и в летуале она уже года три как продавалась в таком состоянии без пленки. Разницы не заметила, как по мне, так оригинал какая и раньше была;3;1
2022-09-02 06:01:18;5;Круто вау💗💗💗💗;0;0
2022-09-01 23:42:52;4;Наклейка от вскрытия приведена только на  колпачок.;0;0
2022-09-01 21:20:56;1;Тушь пришла в состоянии как будто ей уже пользовались. Закрытый пакет в пункте выдачи не вскрыла. Не ожидала от магазина. Очень жаль!;4;0
2022-09-01 18:52:36;5;Замечательная тушь;0;0
2022-09-01 17:15:05;5;Пришло в упаковке,пока не пользовалась,на вид оригинал;0;1
2022-09-01 17:02:13;5;Оригинал!;0;0
2022-09-01 16:27:52;5;Очень красиво мен понравился рекомендую;0;0
2022-09-01 16:25:10;3;Не понравилась;0;0
2022-09-01 15:16:16;5;Отличная тушь, как в магазине. Единственный минус была не упакована.;1;0
2022-09-01 14:41:14;4;Пришла в открытом соотоянии;0;0
2022-09-01 13:49:39;5;Моя любимая тушь, пришла в хорошем состоянии и цена классная;1;0
